%time,field.x,field.y,field.theta,field.linear_velocity,field.angular_velocity
1550525675945860557,5.544444561,5.544444561,0.0,0.0,0.0
1550525675961800758,5.544444561,5.544444561,0.0,0.0,0.0
1550525675977808089,5.544444561,5.544444561,0.0,0.0,0.0
1550525675993796372,5.544444561,5.544444561,0.0,0.0,0.0
1550525676009795381,5.544444561,5.544444561,0.0,0.0,0.0
1550525676025872403,5.544444561,5.544444561,0.0,0.0,0.0
1550525676041866316,5.544444561,5.544444561,0.0,0.0,0.0
1550525676057862447,5.544444561,5.544444561,0.0,0.0,0.0
1550525676073867868,5.544444561,5.544444561,0.0,0.0,0.0
1550525676089868911,5.544444561,5.544444561,0.0,0.0,0.0
1550525676105872800,5.544444561,5.544444561,0.0,0.0,0.0
